"Loss_Pct","Replicate","Seed","Status","Final_LGs","Retained_OGs","Error_Detail"
0.3,41,30818,"SUCCESS",15,4840,NA
0.3,42,30819,"SUCCESS",15,4820,NA
0.3,43,30820,"SUCCESS",15,4830,NA
0.3,44,30821,"SUCCESS",15,4809,NA
0.3,45,30822,"SUCCESS",15,4843,NA
0.3,46,30823,"SUCCESS",15,4844,NA
0.3,47,30824,"SUCCESS",15,4848,NA
0.3,48,30825,"SUCCESS",15,4836,NA
0.3,49,30826,"SUCCESS",15,4845,NA
0.3,5,30782,"SUCCESS",15,4838,NA
0.3,50,31604,"SUCCESS",15,4816,NA
0.3,51,30828,"SUCCESS",15,4830,NA
0.3,52,30829,"SUCCESS",15,4859,NA
0.3,53,30830,"SUCCESS",15,4841,NA
0.3,54,30831,"SUCCESS",15,4847,NA
0.3,55,30832,"SUCCESS",15,4860,NA
0.3,56,30833,"SUCCESS",15,4824,NA
0.3,57,30834,"SUCCESS",15,4845,NA
0.3,58,30835,"SUCCESS",15,4837,NA
0.3,59,30836,"SUCCESS",15,4850,NA
0.3,6,30783,"SUCCESS",15,4850,NA
0.3,60,30837,"SUCCESS",15,4838,NA
0.3,61,30838,"SUCCESS",15,4849,NA
0.3,62,30839,"SUCCESS",15,4829,NA
0.3,63,30840,"SUCCESS",15,4839,NA
0.3,64,30841,"SUCCESS",15,4845,NA
0.3,65,30842,"SUCCESS",15,4832,NA
0.3,66,30843,"SUCCESS",15,4837,NA
0.3,67,30844,"SUCCESS",15,4849,NA
0.3,68,30845,"SUCCESS",15,4819,NA
0.3,69,30846,"SUCCESS",15,4872,NA
0.3,7,30784,"SUCCESS",15,4824,NA
0.3,70,30847,"SUCCESS",15,4838,NA
0.3,71,30848,"SUCCESS",15,4824,NA
0.3,72,30849,"SUCCESS",15,4841,NA
0.3,73,30850,"SUCCESS",15,4844,NA
0.3,74,30851,"SUCCESS",15,4837,NA
0.3,75,30852,"SUCCESS",15,4828,NA
0.3,76,30853,"SUCCESS",15,4828,NA
0.3,77,30854,"SUCCESS",15,4829,NA
0.3,78,30855,"SUCCESS",15,4825,NA
0.3,79,30856,"SUCCESS",15,4854,NA
0.3,8,30785,"SUCCESS",15,4854,NA
0.3,80,30857,"SUCCESS",15,4830,NA
0.3,81,30858,"SUCCESS",15,4845,NA
0.3,82,30859,"SUCCESS",15,4828,NA
0.3,83,30860,"SUCCESS",15,4861,NA
0.3,84,30861,"SUCCESS",15,4831,NA
0.3,85,30862,"SUCCESS",15,4846,NA
0.3,86,30863,"SUCCESS",15,4866,NA
0.3,87,30864,"SUCCESS",15,4839,NA
