"Loss_Pct","Replicate","Seed","Status","Final_LGs","Retained_OGs","Error_Detail"
0.2,6,2020783,"SUCCESS",15,4693,NA
0.2,60,2020837,"SUCCESS",15,4675,NA
0.2,61,2020838,"SUCCESS",15,4695,NA
0.2,62,2020839,"SUCCESS",15,4680,NA
0.2,63,2020840,"SUCCESS",15,4667,NA
0.2,64,2020841,"SUCCESS",15,4665,NA
0.2,65,2020842,"SUCCESS",15,4673,NA
0.2,66,2020843,"SUCCESS",15,4684,NA
0.2,67,2020844,"SUCCESS",15,4662,NA
0.2,68,2020845,"SUCCESS",15,4676,NA
0.2,69,2020846,"SUCCESS",15,4679,NA
0.2,7,2020784,"SUCCESS",15,4668,NA
0.2,70,2020847,"SUCCESS",15,4628,NA
0.2,71,2020848,"SUCCESS",15,4676,NA
0.2,72,2020849,"SUCCESS",15,4693,NA
0.2,73,2020850,"SUCCESS",15,4675,NA
0.2,74,2020851,"SUCCESS",15,4697,NA
0.2,75,2020852,"SUCCESS",15,4662,NA
0.2,76,2020853,"SUCCESS",15,4659,NA
0.2,77,2020854,"SUCCESS",15,4685,NA
0.2,78,2020855,"SUCCESS",15,4660,NA
0.2,79,2020856,"SUCCESS",15,4652,NA
0.2,8,2020785,"SUCCESS",15,4663,NA
0.2,80,2020857,"SUCCESS",15,4652,NA
0.2,81,2020858,"SUCCESS",15,4659,NA
0.2,82,2020859,"SUCCESS",15,4673,NA
0.2,83,2020860,"SUCCESS",15,4697,NA
0.2,84,2020861,"SUCCESS",15,4693,NA
0.2,85,2020862,"SUCCESS",15,4681,NA
0.2,86,2020863,"SUCCESS",15,4644,NA
0.2,87,2020864,"SUCCESS",15,4688,NA
0.2,88,2020865,"SUCCESS",15,4706,NA
0.2,89,2020866,"SUCCESS",15,4683,NA
0.2,9,2020786,"SUCCESS",15,4636,NA
0.2,90,2020867,"SUCCESS",15,4683,NA
0.2,91,2020868,"SUCCESS",15,4664,NA
0.2,92,2020869,"SUCCESS",15,4693,NA
0.2,93,2020870,"SUCCESS",15,4645,NA
0.2,94,2020871,"SUCCESS",15,4694,NA
0.2,95,2020872,"SUCCESS",15,4675,NA
0.2,96,2020873,"SUCCESS",15,4685,NA
0.2,97,2020874,"SUCCESS",15,4662,NA
0.2,98,2020875,"SUCCESS",15,4709,NA
0.2,99,2020876,"SUCCESS",15,4689,NA
0.3,1,2030778,"SUCCESS",15,4471,NA
0.3,10,2030787,"SUCCESS",15,4451,NA
0.3,100,2030877,"SUCCESS",15,4453,NA
0.3,11,2030788,"SUCCESS",15,4448,NA
0.3,12,2030789,"SUCCESS",15,4460,NA
