"Translocations","Replicate","Seed","Status","Final_LGs","Retained_OGs","Error_Detail"
250,94,75871,"SUCCESS",18,4166,NA
250,95,75872,"SUCCESS",17,4533,NA
250,96,75873,"SUCCESS",15,3917,NA
250,97,75874,"SUCCESS",17,4171,NA
250,98,75875,"SUCCESS",18,4498,NA
250,99,75876,"SUCCESS",19,4090,NA
300,1,80778,"SUCCESS",16,4128,NA
300,10,80787,"SUCCESS",19,3982,NA
300,100,80877,"SUCCESS",18,3980,NA
300,11,80788,"SUCCESS",17,4448,NA
300,12,80789,"SUCCESS",16,3970,NA
300,13,80790,"SUCCESS",17,4189,NA
300,14,80791,"SUCCESS",19,4037,NA
300,15,80792,"SUCCESS",19,3712,NA
300,16,80793,"SUCCESS",18,4505,NA
300,17,80794,"SUCCESS",18,4498,NA
300,18,82349,"SUCCESS",19,3872,NA
300,19,80796,"SUCCESS",17,3985,NA
300,2,80779,"SUCCESS",18,3874,NA
300,20,80797,"SUCCESS",16,3943,NA
300,21,80798,"SUCCESS",16,4010,NA
300,22,80799,"SUCCESS",16,3972,NA
300,23,80800,"SUCCESS",18,4386,NA
300,24,80801,"SUCCESS",16,3990,NA
300,25,80802,"SUCCESS",18,4141,NA
300,26,80803,"SUCCESS",17,3702,NA
300,27,80804,"SUCCESS",18,4449,NA
300,28,80805,"SUCCESS",19,4147,NA
300,29,80806,"SUCCESS",17,4066,NA
300,3,80780,"SUCCESS",19,3815,NA
300,30,80807,"SUCCESS",16,4028,NA
300,31,80808,"SUCCESS",16,4467,NA
300,32,80809,"SUCCESS",17,3985,NA
300,33,80810,"SUCCESS",18,3735,NA
300,34,80811,"SUCCESS",20,3928,NA
300,35,80812,"SUCCESS",17,4452,NA
300,36,80813,"SUCCESS",20,4098,NA
300,37,80814,"SUCCESS",17,3851,NA
300,38,80815,"SUCCESS",17,3740,NA
300,39,80816,"SUCCESS",17,3891,NA
300,4,80781,"SUCCESS",19,3834,NA
300,40,80817,"SUCCESS",17,4042,NA
300,41,80818,"SUCCESS",18,4453,NA
300,42,80819,"SUCCESS",17,4159,NA
300,43,80820,"SUCCESS",21,3824,NA
300,44,80821,"SUCCESS",17,3908,NA
300,45,80822,"SUCCESS",19,3919,NA
300,46,80823,"SUCCESS",19,4353,NA
300,47,80824,"SUCCESS",19,3841,NA
300,48,80825,"SUCCESS",18,4618,NA
300,49,80826,"SUCCESS",18,3928,NA
300,5,80782,"SUCCESS",17,4043,NA
300,50,80827,"SUCCESS",17,3929,NA
300,51,80828,"SUCCESS",17,3887,NA
300,52,80829,"SUCCESS",18,3985,NA
300,53,80830,"SUCCESS",17,4511,NA
300,54,80831,"SUCCESS",17,4450,NA
300,55,80832,"SUCCESS",20,3894,NA
300,56,80833,"SUCCESS",17,3882,NA
300,57,80834,"SUCCESS",21,3845,NA
300,58,80835,"SUCCESS",19,3900,NA
300,59,80836,"SUCCESS",15,3971,NA
300,6,80783,"SUCCESS",19,3922,NA
300,60,80837,"SUCCESS",19,4033,NA
300,61,80838,"SUCCESS",19,3750,NA
300,62,80839,"SUCCESS",18,3787,NA
300,63,80840,"SUCCESS",18,4344,NA
300,64,80841,"SUCCESS",17,3985,NA
300,65,80842,"SUCCESS",18,3920,NA
300,66,80843,"SUCCESS",15,4174,NA
300,67,80844,"SUCCESS",17,3842,NA
300,68,80845,"SUCCESS",17,3978,NA
300,69,80846,"SUCCESS",17,3804,NA
300,7,80784,"SUCCESS",17,3861,NA
300,70,80847,"SUCCESS",16,4168,NA
300,71,80848,"SUCCESS",15,3821,NA
300,72,80849,"SUCCESS",17,3885,NA
300,73,80850,"SUCCESS",19,4493,NA
300,74,80851,"SUCCESS",18,3902,NA
300,75,80852,"SUCCESS",16,3929,NA
300,76,80853,"SUCCESS",18,3885,NA
300,77,80854,"SUCCESS",21,3872,NA
300,78,80855,"SUCCESS",21,3928,NA
300,79,80856,"SUCCESS",20,4046,NA
300,8,80785,"SUCCESS",20,3663,NA
300,80,80857,"SUCCESS",17,4565,NA
300,81,80858,"SUCCESS",19,4029,NA
300,82,80859,"SUCCESS",18,3784,NA
300,83,80860,"SUCCESS",18,4529,NA
300,84,80861,"SUCCESS",19,3867,NA
300,85,80862,"SUCCESS",18,3837,NA
300,86,80863,"SUCCESS",16,3790,NA
300,87,80864,"SUCCESS",18,4030,NA
300,88,80865,"SUCCESS",20,3931,NA
300,89,80866,"SUCCESS",16,4520,NA
300,9,80786,"SUCCESS",19,4373,NA
300,90,81644,"SUCCESS",17,4600,NA
300,91,80868,"SUCCESS",17,4035,NA
300,92,80869,"SUCCESS",18,3843,NA
300,93,81647,"SUCCESS",17,3990,NA
300,94,80871,"SUCCESS",19,4057,NA
300,95,80872,"SUCCESS",18,3911,NA
300,96,80873,"SUCCESS",17,4635,NA
300,97,80874,"SUCCESS",18,4538,NA
300,98,80875,"SUCCESS",19,4027,NA
300,99,80876,"SUCCESS",18,3876,NA
350,1,85778,"SUCCESS",21,3882,NA
350,10,85787,"SUCCESS",19,3705,NA
350,100,85877,"SUCCESS",21,3762,NA
350,11,85788,"SUCCESS",15,3952,NA
350,12,85789,"SUCCESS",20,4030,NA
350,13,85790,"SUCCESS",20,3804,NA
350,14,85791,"SUCCESS",20,3958,NA
350,15,85792,"SUCCESS",21,3788,NA
350,16,85793,"SUCCESS",21,3789,NA
350,17,85794,"SUCCESS",21,3863,NA
350,18,86572,"SUCCESS",18,4074,NA
350,19,85796,"SUCCESS",19,4028,NA
350,2,85779,"SUCCESS",18,3754,NA
350,20,85797,"SUCCESS",19,3962,NA
350,21,85798,"SUCCESS",19,3932,NA
350,22,85799,"SUCCESS",19,3979,NA
350,23,85800,"SUCCESS",19,3895,NA
350,24,85801,"SUCCESS",19,3832,NA
350,25,85802,"SUCCESS",22,4014,NA
350,26,85803,"SUCCESS",20,3720,NA
350,27,85804,"SUCCESS",19,3883,NA
350,28,85805,"SUCCESS",22,3711,NA
350,29,85806,"SUCCESS",18,4044,NA
350,3,85780,"SUCCESS",18,4014,NA
350,30,85807,"SUCCESS",21,4098,NA
350,31,85808,"SUCCESS",19,4575,NA
350,32,85809,"SUCCESS",19,3851,NA
350,33,85810,"SUCCESS",21,3871,NA
350,34,85811,"SUCCESS",18,3796,NA
350,35,85812,"SUCCESS",19,4055,NA
350,36,85813,"SUCCESS",17,4144,NA
350,37,85814,"SUCCESS",19,3700,NA
350,38,85815,"SUCCESS",20,3921,NA
350,39,85816,"SUCCESS",18,3903,NA
350,4,86558,"SUCCESS",21,4019,NA
350,40,85817,"SUCCESS",18,3980,NA
350,41,85818,"SUCCESS",20,3881,NA
350,42,85819,"SUCCESS",21,4081,NA
350,43,85820,"SUCCESS",23,3837,NA
350,44,85821,"SUCCESS",18,3888,NA
350,45,85822,"SUCCESS",22,3885,NA
350,46,85823,"SUCCESS",16,3946,NA
350,47,85824,"SUCCESS",19,3923,NA
350,48,85825,"SUCCESS",19,3890,NA
350,49,85826,"SUCCESS",20,4199,NA
350,5,85782,"SUCCESS",22,3897,NA
350,50,86604,"SUCCESS",22,3795,NA
350,51,85828,"SUCCESS",19,3938,NA
350,52,85829,"SUCCESS",20,3892,NA
350,53,85830,"SUCCESS",16,3997,NA
350,54,85831,"SUCCESS",19,4001,NA
350,55,85832,"SUCCESS",18,3999,NA
350,56,85833,"SUCCESS",21,4091,NA
350,57,85834,"SUCCESS",18,3811,NA
350,58,85835,"SUCCESS",17,3909,NA
350,59,85836,"SUCCESS",21,3947,NA
350,6,85783,"SUCCESS",19,4398,NA
350,60,85837,"SUCCESS",20,3978,NA
350,61,85838,"SUCCESS",20,4067,NA
350,62,85839,"SUCCESS",17,3825,NA
350,63,85840,"SUCCESS",19,3856,NA
350,64,85841,"SUCCESS",17,3927,NA
350,65,85842,"SUCCESS",22,4042,NA
350,66,86620,"SUCCESS",20,4443,NA
350,67,86621,"SUCCESS",18,3866,NA
350,68,85845,"SUCCESS",17,4060,NA
350,69,85846,"SUCCESS",20,3908,NA
350,7,85784,"SUCCESS",20,4013,NA
350,70,85847,"SUCCESS",17,4398,NA
350,71,85848,"SUCCESS",21,4334,NA
350,72,85849,"SUCCESS",20,3914,NA
350,73,85850,"SUCCESS",20,4545,NA
350,74,85851,"SUCCESS",20,3844,NA
350,75,85852,"SUCCESS",20,4103,NA
350,76,85853,"SUCCESS",20,3784,NA
350,77,85854,"SUCCESS",17,4019,NA
350,78,85855,"SUCCESS",17,4078,NA
350,79,85856,"SUCCESS",20,4481,NA
350,8,85785,"SUCCESS",21,3956,NA
350,80,85857,"SUCCESS",18,3854,NA
350,81,85858,"SUCCESS",19,4463,NA
350,82,85859,"SUCCESS",20,3914,NA
350,83,85860,"SUCCESS",17,3823,NA
350,84,85861,"SUCCESS",18,3991,NA
350,85,85862,"SUCCESS",18,4310,NA
350,86,85863,"SUCCESS",18,4016,NA
350,87,85864,"SUCCESS",21,3840,NA
350,88,85865,"SUCCESS",19,3912,NA
350,89,85866,"SUCCESS",17,3992,NA
350,9,85786,"SUCCESS",18,3829,NA
350,90,85867,"SUCCESS",19,3947,NA
350,91,85868,"SUCCESS",18,3755,NA
350,92,85869,"SUCCESS",21,3978,NA
350,93,85870,"SUCCESS",19,3836,NA
350,94,86648,"SUCCESS",19,3850,NA
350,95,85872,"SUCCESS",18,3896,NA
350,96,85873,"SUCCESS",19,4026,NA
350,97,85874,"SUCCESS",20,4058,NA
350,98,85875,"SUCCESS",20,3601,NA
350,99,85876,"SUCCESS",18,3681,NA
400,1,90778,"SUCCESS",20,3980,NA
400,10,90787,"SUCCESS",18,3799,NA
400,100,90877,"SUCCESS",20,3996,NA
